xi,v2_xi,absF,reF,imF
126,1,4.982461734693862e-06,-4.8896842779105126e-06,9.570332282858922e-07
127,0,4.982461734693862e-06,-4.88821045495099e-06,9.64532781089579e-07
128,7,4.982461734692723e-06,-4.886725129558968e-06,9.720300642542399e-07
129,0,4.982461734693861e-06,-4.885228305232911e-06,9.79525060138709e-07
130,1,4.982461734693861e-06,-4.88371998549164e-06,9.870177511058714e-07
131,0,4.982461734693861e-06,-4.882200173885495e-06,9.945081195249231e-07
132,2,4.98246173469386e-06,-4.880668873990739e-06,1.0019961477703043e-06
133,0,4.982461734693861e-06,-4.879126089410668e-06,1.0094818182219603e-06
134,1,4.98246173469386e-06,-4.877571823775604e-06,1.0169651132653862e-06
135,0,4.98246173469386e-06,-4.876006080742884e-06,1.0244460152916655e-06
136,3,4.982461734693806e-06,-4.874428863996799e-06,1.031924506697502e-06
137,0,4.982461734693859e-06,-4.872840177248852e-06,1.039400569885317e-06
138,1,4.98246173469386e-06,-4.871240024237218e-06,1.0468741872631775e-06
139,0,4.98246173469386e-06,-4.869628408727263e-06,1.0543453412449514e-06
140,2,4.98246173469386e-06,-4.868005334511275e-06,1.0618140142502916e-06
141,0,4.98246173469386e-06,-4.866370805408504e-06,1.069280188704689e-06
142,1,4.98246173469386e-06,-4.864724825265155e-06,1.0767438470395142e-06
143,0,4.982461734693859e-06,-4.8630673979543786e-06,1.0842049716920577e-06
144,4,4.982461734693805e-06,-4.861398527376208e-06,1.091663545105561e-06
145,0,4.982461734693859e-06,-4.859718217457815e-06,1.099119549729316e-06
146,1,4.982461734693859e-06,-4.858026472152974e-06,1.1065729680185878e-06
147,0,4.982461734693859e-06,-4.856323295442578e-06,1.1140237824347752e-06
148,2,4.9824617346938585e-06,-4.854608691334364e-06,1.1214719754453918e-06
149,0,4.982461734693859e-06,-4.852882663862964e-06,1.1289175295241205e-06
150,1,4.9824617346938585e-06,-4.851145217089885e-06,1.1363604271508531e-06
151,0,4.9824617346938585e-06,-4.849396355103508e-06,1.1438006508117324e-06
152,3,4.982461734693805e-06,-4.847636082019023e-06,1.1512381829991811e-06
153,0,4.982461734693859e-06,-4.845864401978678e-06,1.158673006212005e-06
154,1,4.9824617346938585e-06,-4.844081319151251e-06,1.1661051029553096e-06
155,0,4.9824617346938585e-06,-4.84228683773256e-06,1.1735344557406655e-06
156,2,4.982461734693858e-06,-4.8404809619451926e-06,1.1809610470860882e-06
